epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_accuracy,learning_rate
1,0.7149052808757956,0.6843745581647183,0.13009465759254574,0.09439594689945964,0.7875652585891967,0.11533714061466287,0.9953212940946539,0.0001
2,0.6542996923432095,0.6391400352437445,0.29945890522640595,0.202075542212517,0.2527271964527825,0.6049978178305653,0.9861425034543301,0.0001
3,0.6171984829520452,0.608540045454147,0.21597642435672434,0.1359927661399892,0.1460142720966263,0.6653572022914886,0.9742605331096243,0.0001
4,0.5807543797347382,0.5812151856878971,0.23724516899265508,0.15212963898963433,0.1556939976587099,0.6748191441627259,0.9751160601352123,0.0001
5,0.5427951436233884,0.5811886863505586,0.3597787314314705,0.2739138945661874,0.5000793572435988,0.39256587308237667,0.9947950484904837,0.0001
6,0.49608236483035195,0.5308759237857575,0.3948608208844002,0.2954227384576138,0.35248965888898426,0.6117046614910694,0.9868371233027032,0.0001
7,0.45053031733472837,0.4533280007382657,0.4293164509804325,0.336998381017846,0.44489436679856575,0.47296384095828586,0.9939121084010347,0.0001
8,0.41580845125531424,0.44723238716734215,0.3726180464504881,0.2693027126741536,0.2984157526033356,0.6267217518167293,0.9892929767040496,0.0001
9,0.3956853208196072,0.3944188061546772,0.4647524226853188,0.36444553780428907,0.44267380170207077,0.5694111213088036,0.9934110641479492,0.0001
10,0.37411731936549414,0.3769147072700744,0.47026305185987594,0.3668173496869016,0.4207586442377973,0.6161908504176647,0.9930673355751849,0.0001
11,0.35856334245159427,0.3755003426303255,0.4761174032670506,0.38173547862769375,0.4623827388957411,0.5621899226903018,0.994121734132158,0.0001
12,0.3580777117882976,0.37781301489535796,0.47457502623913117,0.37401563927939585,0.4775862150068148,0.5512322371334842,0.9935807775943837,0.0001
13,0.34732929008607644,0.3585639161632416,0.4874361873947023,0.3860296301073948,0.48634760779345937,0.5804121800267052,0.9936685967952648,0.0001
14,0.34655593256003986,0.3611685985580404,0.4894357689834656,0.3864830756520337,0.5255499956138591,0.5150767344426601,0.9950565378716651,0.0001
15,0.3418352810367373,0.3558131329556729,0.48612653004474193,0.393154135965772,0.5168692108185924,0.516626157661612,0.9950301190640064,0.0001
16,0.3362827998308735,0.3529749297081156,0.49657651845531703,0.4003726394578288,0.4843843807579052,0.5804427047383649,0.9938212658496614,0.0001
17,0.33153890852482265,0.3493005699933843,0.485543363272538,0.39198447225007893,0.47818031225523744,0.5516462570199677,0.9943954386609666,0.0001
18,0.33179117966699234,0.3654261551638867,0.4940263597266866,0.39783963275834744,0.5021743202169466,0.5410102334769853,0.994997815882906,0.0001
19,0.3296754166825127,0.3545444281177318,0.4692181694388422,0.3743474729208268,0.4445381151881826,0.5863999385173387,0.9930762838810048,0.0001
20,0.32844835906538344,0.3395463827442616,0.5051516728840812,0.40514115989292687,0.5033130737708641,0.5894469980254189,0.9944488038407996,0.0001
21,0.32722807891723765,0.3458501354176947,0.494351161921278,0.39590633830967104,0.4646797267759734,0.6251899091170189,0.9934229343495471,0.0001
22,0.3243710957467556,0.3586095321051618,0.48207452132424655,0.3866504538574295,0.47680323301602595,0.5557177168282159,0.9942886880103577,0.0001
23,0.3195069415480581,0.3360208142945107,0.5073665940460372,0.41109124951540155,0.5006343622077652,0.6019034791500011,0.9937542042833694,0.0001
24,0.3220844683983854,0.34574086995835,0.4963950524315766,0.39877151808950073,0.4780445140113151,0.5859655414514455,0.9946883790036465,0.0001
25,0.3242179879932913,0.33513637077301106,0.5056383765133374,0.4080897753552157,0.48412271192883666,0.6065854138540832,0.9942635678230448,0.0001
26,0.3205146658739061,0.36787822906007156,0.4751647422295075,0.3805789392686044,0.4707396805612911,0.5356406810460309,0.993971844936939,0.0001
27,0.31877302540508845,0.3443482689400937,0.5039445596182895,0.4099855835143851,0.4989099683300506,0.5758121562155374,0.9943111703750935,5e-05
28,0.3060620352341474,0.33998620890556497,0.5001786522421904,0.4042923188920189,0.540949568472367,0.5070164693504309,0.9954887755373691,5e-05
29,0.30345179009756057,0.33311419601136066,0.5144101032560221,0.41977674625110556,0.5536547563191904,0.5291298921145394,0.9951301128306287,5e-05
30,0.30384468255948477,0.33662274416456833,0.4983518675297815,0.40785761510549057,0.5292176578928447,0.5287930332941314,0.9951218544168675,5e-05
31,0.2986590083375687,0.33542703615224106,0.5117803821549886,0.4183958023798074,0.523719976400838,0.5634622458155222,0.9949441260479867,5e-05
32,0.29887075622686904,0.33188853809174074,0.5159592099024081,0.42052464884765073,0.5327416614039174,0.5641298581018463,0.9951799068045108,5e-05
33,0.29995805437442,0.3344564196911264,0.4978291573055592,0.408151844398807,0.5271511645421394,0.5220719896122866,0.9951335014180934,5e-05
34,0.3001259333020403,0.3336419482180413,0.4990116075641329,0.40449084294058224,0.5069140294145514,0.554366476519221,0.9946303469069461,5e-05
35,0.29768470364786287,0.34806816755457126,0.49267105060767324,0.4013554339721071,0.5005860189186441,0.534731197549852,0.9946002960205078,5e-05
36,0.2956527675438018,0.3418485427156408,0.4768759525465244,0.38789869773330443,0.4726690292690306,0.5439202637297715,0.9944724833711664,2.5e-05
37,0.28576604811517337,0.33991220038621983,0.483312244586488,0.3926128925795251,0.48667628508298955,0.5461627468466759,0.9944108394866294,2.5e-05
38,0.2829203209235468,0.3357398462422351,0.49718544917637897,0.4055902269936486,0.5147272613155424,0.5312604924807259,0.9951974584701213,2.5e-05
39,0.2842408062051271,0.33521943745460914,0.5002004612007217,0.4062146837731802,0.49921057531927243,0.5728924326781634,0.9943652457379281,2.5e-05
40,0.28165846662098215,0.3314300338004498,0.5117436511093659,0.4154502037683094,0.5195314354732468,0.5710577665198727,0.9945413711223197,1.25e-05
41,0.27637526046001276,0.3300341973279385,0.5086598324974119,0.41431153137715093,0.5146310551383155,0.5684423673367617,0.9946693866810901,1.25e-05
42,0.27448677021356027,0.33561237314914133,0.5004685119468164,0.4081809563720797,0.5218341345403422,0.5324240146957814,0.9950096252116751,1.25e-05
43,0.27234294427601435,0.3298192753436718,0.5088407577193798,0.4142308179487256,0.5162103086551453,0.5583579973020452,0.994901697686378,1.25e-05
44,0.2741665110162651,0.33407650856261556,0.5058716239130243,0.4114772568040706,0.528387614387147,0.5389891610817706,0.9949959896980448,6.25e-06
45,0.27167236640025644,0.3312517588442944,0.5061063135557986,0.4109615722393736,0.5240954081428811,0.5438478045324062,0.9950248434188518,6.25e-06
46,0.26982502792855256,0.33407118250714973,0.504745381309631,0.4097042053620866,0.5125344530382054,0.555728222937026,0.994846486030741,6.25e-06
47,0.2712736566558139,0.3334541355675839,0.5057246375908243,0.4106203853449923,0.516379510151579,0.5549739908347738,0.994977484358118,6.25e-06
48,0.2689523644859099,0.3347319291627153,0.49892954195433475,0.40646562400333425,0.5119129153008156,0.5442662613188967,0.995022530251361,3.125e-06
49,0.2673509294977625,0.33522764799442695,0.5015783598448368,0.40909338734568435,0.519962820918002,0.5377199172656587,0.9951435454348301,3.125e-06
50,0.26897798015074875,0.3365010723788687,0.49908789817957167,0.4065282756977893,0.5112136072934942,0.5474404695820301,0.9948055997807929,3.125e-06
