fold,loss,dice,iou,precision,recall,accuracy
0,0.686036728322506,0.7131197415292263,0.6546741761267185,0.8011684641242027,0.7799883857369423,0.9979204684495926
1,0.7364112585783005,0.28125000055378135,0.28125000055378135,0.3125000005124424,0.8593750000571212,0.997066929936409
2,0.7131348699331284,0.8706962317228317,0.8425217792391777,0.9883162900805473,0.8470809161663055,0.9992551356554031
3,0.7305923402309418,0.6701826732605696,0.6588361077010632,0.9375,0.7213361077010632,0.9987269416451454
mean,0.7165437992662191,0.6338121617666023,0.6093205159051852,0.7598711886792981,0.8019451024153581,0.9982423689216375
std,0.022615478619133503,0.2503508514280314,0.23559983063794998,0.3085371959890893,0.06407116424271024,0.0009566928980064512
