epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_accuracy,learning_rate
1,0.8460868286049884,0.8241570517420769,2.7458204330046976e-11,2.7458204330046976e-11,2.8799260719247766e-11,0.5000000000689931,0.95345239341259,0.0001
2,0.7907842941906141,0.7809571623802185,0.03454103387362584,0.01867924074345529,0.033846252275755453,0.5363287338986993,0.9905327707529068,0.0001
3,0.766839949981026,0.7617277279496193,4.602436095429985e-09,4.602436095429985e-09,6.592355744627909e-09,0.5000000000689931,0.9968828782439232,0.0001
4,0.7544290319732998,0.7537723630666733,0.5000000000689931,0.5000000000689931,1.0,0.5000000000689931,0.9971174150705338,0.0001
5,0.7466200849284297,0.7453329563140869,0.5010535199381715,0.5005310120742373,1.0,0.5005310120742373,0.9971219301223755,0.0001
6,0.7410862990047621,0.741355761885643,0.5000000000681074,0.5000000000681074,0.90625,0.5000000000689931,0.9970921576023102,0.0001
7,0.7343726132227026,0.7334083095192909,0.35398047092228246,0.3289740472179563,0.40896727750866724,0.5456966748461127,0.995326854288578,0.0001
8,0.728744916293932,0.7257242426276207,0.508300056681037,0.4843829437159002,0.7934292107820511,0.5324319512583315,0.9971319064497948,0.0001
9,0.7241584632707678,0.7198459059000015,0.5800107829272747,0.5334929786622524,0.8545854538679123,0.5881669521331787,0.9974666684865952,0.0001
10,0.7199138713919598,0.7221110239624977,0.12526798263483382,0.07944824235805012,0.08123911210626997,0.8927134945988655,0.9783100932836533,0.0001
11,0.7154942465865094,0.7124073207378387,0.2722929622977972,0.21199894370511174,0.21893228171393275,0.8617796897888184,0.9891287833452225,0.0001
12,0.7109112869138303,0.7072461768984795,0.3635250055231154,0.29779121559113264,0.33318529929965734,0.8226129487156868,0.9943583831191063,0.0001
13,0.7074735086897145,0.7095106914639473,0.2833875324577093,0.23370054317638278,0.34735263604670763,0.6930585764348507,0.992601178586483,5e-05
14,0.704294855179994,0.7007958889007568,0.5606414414942265,0.5001035556197166,0.7116473242640495,0.6909036934375763,0.9978185445070267,5e-05
15,0.7020368031833483,0.6978215277194977,0.6915034353733063,0.6324665509164333,0.849739708006382,0.7255025431513786,0.9979528859257698,5e-05
16,0.699695683043936,0.6976788341999054,0.39595817426667196,0.3307025761015771,0.37165062945783717,0.8217519223690033,0.9948485642671585,5e-05
17,0.6984005078025486,0.6943922340869904,0.5734988544136286,0.5136821679770947,0.6430721469223499,0.7467064186930656,0.9971995502710342,5e-05
18,0.6966676064159559,0.6933584287762642,0.6863534599542618,0.626433189958334,0.8827121928334236,0.690677348524332,0.9978991821408272,5e-05
19,0.6952206544254137,0.6892072185873985,0.5397734977304935,0.4782152734696865,0.5646120607852936,0.8217392638325691,0.9969331845641136,2.5e-05
20,0.6933646642643473,0.6881737411022186,0.42379027232527733,0.3558170241303742,0.40607230365276337,0.8546729683876038,0.9960965812206268,2.5e-05
21,0.6922360503155253,0.6865217685699463,0.6129450760781765,0.5468776561319828,0.6207362040877342,0.8245043680071831,0.9974182546138763,2.5e-05
22,0.6916901780211407,0.686036728322506,0.7131197415292263,0.6546741761267185,0.8011684641242027,0.7799883857369423,0.9979204684495926,2.5e-05
23,0.6906209562135779,0.6866231337189674,0.3539796688030093,0.2849357796269088,0.31494915181720545,0.854066476225853,0.9950192272663116,2.5e-05
24,0.690067374187967,0.6849292889237404,0.5080315573140979,0.4423244302161038,0.5311351623386145,0.7870564833283424,0.996807336807251,2.5e-05
25,0.6889327116634535,0.684437058866024,0.6430010199546814,0.5845687985420227,0.7500700578093529,0.7515962645411491,0.9979589059948921,2.5e-05
26,0.6881167448085287,0.6832188218832016,0.6410955935716629,0.5826413705945015,0.7462322413921356,0.7527360841631889,0.9978923946619034,1.25e-05
27,0.6875635774239249,0.682722806930542,0.6290438547730446,0.5692918673157692,0.7271662801504135,0.7591198608279228,0.997890330851078,1.25e-05
28,0.6869563253029533,0.6829836815595627,0.6842572316527367,0.6248271577060223,0.8505759611725807,0.7295514047145844,0.9981124252080917,1.25e-05
29,0.6868210201678069,0.6813134402036667,0.6810024380683899,0.6203261688351631,0.7913579940795898,0.7529335021972656,0.9980142787098885,1.25e-05
30,0.6861885915631833,0.6820162609219551,0.6604214087128639,0.6002902165055275,0.7816263809800148,0.7440642565488815,0.9980024099349976,6.25e-06
